"Data Source","World Development Indicators",

"Last Updated Date","2015-07-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Iran, Islamic Rep.","IRN","Net migration","SM.POP.NETM","","","-7838","","","","","51755","","","","","77633","","","","","419996","","","","","1969421","","","","","1344377","","","","","-2276004","","","","","615293","","","","","-70307","","","","","-549266","","","","","-300001","","",
"Iraq","IRQ","Net migration","SM.POP.NETM","","","-1862","","","","","-6877","","","","","-8587","","","","","-47791","","","","","-199939","","","","","-630184","","","","","-154026","","","","","-17859","","","","","-266320","","","","","-457332","","","","","449998","","",
"Iceland","ISL","Net migration","SM.POP.NETM","","","-732","","","","","-2757","","","","","-1061","","","","","-3929","","","","","260","","","","","646","","","","","-1054","","","","","1994","","","","","3894","","","","","8041","","","","","5429","","",
"Israel","ISR","Net migration","SM.POP.NETM","","","208759","","","","","72440","","","","","165879","","","","","62546","","","","","2604","","","","","65418","","","","","456923","","","","","245334","","","","","102935","","","","","273635","","","","","-75985","","",
"Italy","ITA","Net migration","SM.POP.NETM","","","-231607","","","","","-231781","","","","","19396","","","","","164927","","","","","266352","","","","","-10058","","","","","152825","","","","","223974","","","","","1853488","","","","","1911307","","","","","900000","","",
"Jamaica","JAM","Net migration","SM.POP.NETM","","","-148431","","","","","-169362","","","","","-104232","","","","","-113560","","","","","-81713","","","","","-160500","","","","","-111717","","","","","-73208","","","","","-76076","","","","","-100000","","","","","-80000","","",
"Jordan","JOR","Net migration","SM.POP.NETM","","","35715","","","","","254352","","","","","-29706","","","","","-80758","","","","","81657","","","","","118198","","","","","401472","","","","","-188262","","","","","-184266","","","","","450110","","","","","400002","","",
"Japan","JPN","Net migration","SM.POP.NETM","","","209163","","","","","878290","","","","","457099","","","","","45014","","","","","212063","","","","","-628168","","","","","451392","","","","","16977","","","","","622058","","","","","445661","","","","","350000","","",
"Kazakhstan","KAZ","Net migration","SM.POP.NETM","","","691681","","","","","173343","","","","","-55461","","","","","-313630","","","","","-348261","","","","","-606090","","","","","-1511745","","","","","-1324984","","","","","44530","","","","","-11297","","","","","0","","",
"Kenya","KEN","Net migration","SM.POP.NETM","","","-20000","","","","","-19535","","","","","-17915","","","","","-2930","","","","","3805","","","","","5023","","","","","221569","","","","","-21386","","","","","25144","","","","","-189330","","","","","-50000","","",
